iter	Passed	Remaining
0	1	116
1	2	106
2	3	97
3	3	89
4	4	88
5	5	87
6	6	85
7	7	83
8	8	82
9	9	81
10	9	80
11	10	79
12	11	78
13	12	78
14	13	77
15	14	76
16	15	76
17	16	74
18	17	73
19	18	72
20	19	72
21	20	71
22	21	70
23	22	69
24	22	68
25	23	68
26	24	67
27	25	65
28	26	64
29	27	63
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	32	56
37	33	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	38	47
45	39	46
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	44	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	35
58	50	35
59	51	34
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	28
67	57	27
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	64	19
77	65	18
78	66	17
79	67	16
80	68	15
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	79	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	84	0
